League,Case,Target,Model,MAE_test,MAE_train,MSE_test,MSE_train,RMSE_test,RMSE_train,R2_test,R2_train,MAPE_test,MAE_test_bp,RMSE_test_bp,R2_test_bp
Bundesliga,ec1,Next_Gls,LinearRegression,1.689,1.624,7.155,7.205,2.675,2.684,0.236,0.516,0.869,1.523,2.259,0.538
Bundesliga,ec1,Next_Gls,Ridge,1.686,1.62,7.028,7.301,2.651,2.702,0.25,0.51,0.863,1.523,2.205,0.56
Bundesliga,ec1,Next_Gls,RandomForest,1.851,1.651,7.578,6.145,2.753,2.479,0.191,0.588,0.774,1.78,2.393,0.482
Bundesliga,ec1,Next_Gls,GradientBoosting,1.702,1.406,7.516,4.396,2.741,2.097,0.198,0.705,0.768,1.55,2.236,0.548
Bundesliga,ec1,Next_Gls,XGBoost,1.758,1.552,7.317,6.128,2.705,2.475,0.219,0.589,0.68,1.661,2.387,0.484
Bundesliga,ec1,Next_Gls,MLP,1.826,1.735,7.497,7.521,2.738,2.742,0.2,0.495,0.94,1.596,2.142,0.585
Bundesliga,case2,Next_Gls,LinearRegression,1.708,1.634,6.932,7.208,2.633,2.685,0.26,0.516,0.82,1.569,2.207,0.559
Bundesliga,case2,Next_Gls,Ridge,1.711,1.641,6.811,7.187,2.61,2.681,0.273,0.518,0.811,1.56,2.18,0.57
Bundesliga,case2,Next_Gls,RandomForest,1.761,1.419,7.823,4.72,2.797,2.173,0.165,0.683,0.811,1.569,2.344,0.503
Bundesliga,case2,Next_Gls,GradientBoosting,1.742,1.331,6.724,3.571,2.593,1.89,0.282,0.76,0.716,1.606,2.161,0.577
Bundesliga,case2,Next_Gls,XGBoost,1.727,1.315,7.043,4.311,2.654,2.076,0.248,0.711,0.743,1.596,2.334,0.507
Bundesliga,case2,Next_Gls,MLP,1.693,1.622,6.575,7.572,2.564,2.752,0.298,0.492,0.71,1.606,2.356,0.498
Bundesliga,case3,Next_Gls,LinearRegression,1.727,1.587,7.13,6.763,2.67,2.601,0.239,0.546,0.846,1.56,2.226,0.552
Bundesliga,case3,Next_Gls,Ridge,1.73,1.613,6.947,7.092,2.636,2.663,0.258,0.524,0.832,1.55,2.135,0.587
Bundesliga,case3,Next_Gls,RandomForest,1.73,1.395,7.388,4.498,2.718,2.121,0.211,0.698,0.821,1.633,2.419,0.47
Bundesliga,case3,Next_Gls,GradientBoosting,1.693,1.34,6.661,4.014,2.581,2.003,0.289,0.731,0.76,1.578,2.267,0.535
Bundesliga,case3,Next_Gls,XGBoost,1.696,1.27,6.733,4.039,2.595,2.01,0.281,0.729,0.708,1.587,2.325,0.511
Bundesliga,case3,Next_Gls,MLP,1.764,1.771,6.391,8.424,2.528,2.902,0.318,0.435,0.817,1.651,2.263,0.537
PremierLeague,ec1,Next_Gls,LinearRegression,1.727,1.559,8.457,6.407,2.908,2.531,0.412,0.573,0.796,1.929,3.29,0.51
PremierLeague,ec1,Next_Gls,Ridge,1.718,1.556,8.223,6.427,2.867,2.535,0.429,0.572,0.777,1.92,3.242,0.524
PremierLeague,ec1,Next_Gls,RandomForest,1.754,1.356,8.78,4.394,2.963,2.096,0.39,0.707,0.743,1.902,3.307,0.505
PremierLeague,ec1,Next_Gls,GradientBoosting,1.727,1.329,8.558,4.209,2.925,2.052,0.405,0.719,0.716,1.902,3.283,0.512
PremierLeague,ec1,Next_Gls,XGBoost,1.671,1.43,8.519,5.494,2.919,2.344,0.408,0.634,0.65,1.812,3.329,0.499
PremierLeague,ec1,Next_Gls,MLP,1.801,1.559,8.68,6.438,2.946,2.537,0.397,0.571,0.763,2.009,3.358,0.49
PremierLeague,case2,Next_Gls,LinearRegression,1.727,1.577,7.994,6.41,2.827,2.532,0.444,0.573,0.755,1.857,3.19,0.539
PremierLeague,case2,Next_Gls,Ridge,1.694,1.585,7.801,6.421,2.793,2.534,0.458,0.572,0.741,1.839,3.196,0.538
PremierLeague,case2,Next_Gls,RandomForest,1.748,1.31,8.608,4.133,2.934,2.033,0.402,0.724,0.769,1.92,3.366,0.487
PremierLeague,case2,Next_Gls,GradientBoosting,1.706,1.304,8.163,4.069,2.857,2.017,0.433,0.729,0.747,1.92,3.318,0.502
PremierLeague,case2,Next_Gls,XGBoost,1.703,1.413,8.504,5.368,2.916,2.317,0.409,0.642,0.675,1.946,3.417,0.471
PremierLeague,case2,Next_Gls,MLP,1.769,1.573,8.546,6.438,2.923,2.537,0.406,0.571,0.713,2.045,3.483,0.451
PremierLeague,case3,Next_Gls,LinearRegression,1.721,1.549,8.119,6.091,2.849,2.468,0.436,0.594,0.78,1.884,3.258,0.52
PremierLeague,case3,Next_Gls,Ridge,1.727,1.568,7.905,6.217,2.812,2.493,0.451,0.586,0.754,1.884,3.214,0.532
PremierLeague,case3,Next_Gls,RandomForest,1.721,1.304,8.677,4.11,2.946,2.027,0.397,0.726,0.778,1.857,3.311,0.504
PremierLeague,case3,Next_Gls,GradientBoosting,1.736,1.286,8.84,3.877,2.973,1.969,0.386,0.742,0.733,1.911,3.389,0.48
PremierLeague,case3,Next_Gls,XGBoost,1.691,1.408,8.665,5.251,2.944,2.291,0.398,0.65,0.677,1.848,3.371,0.486
PremierLeague,case3,Next_Gls,MLP,1.7,1.529,8.561,6.505,2.926,2.55,0.405,0.566,0.777,1.929,3.417,0.471
LaLiga,ec1,Next_Gls,LinearRegression,1.511,1.382,6.125,5.35,2.475,2.313,0.344,0.593,0.749,1.794,2.671,0.46
